id_site,date,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,dju
P530,2014-01-01,0.0,513.14159977,0.0,218.871686537,189.265569973,156.801086795,394.935380297,445.643058395,223.211640406,366.05302905,325.3
P530,2014-01-02,0.0,346.900672356,99.9280224858,440.246769473,148.927852516,360.316310176,257.680330756,0.0,340.547220745,106.163309167,325.3
P530,2014-01-03,394.308427604,381.642247353,226.300645724,250.791425377,368.618399468,411.643690584,222.962349111,277.425404733,305.546717246,168.911831198,325.3
P530,2014-01-04,341.972265151,0.0,340.320452956,249.945794573,455.813974766,327.91696586,262.324494729,414.595693802,265.069128987,219.19618191,325.3
P530,2014-01-05,409.07201242,181.546090185,365.402841635,342.999923226,188.268360245,417.912210567,162.578223333,0.0,150.952033709,413.877875621,325.3
P530,2014-01-06,143.657546047,93.7981342832,0.0,298.809704075,278.783269248,401.922764647,445.846639252,167.301852309,3.83740339418,215.229264293,325.3
P530,2014-01-07,473.686628464,318.809719774,220.512324751,260.31086673,360.27008847,-30.5244587782,286.730800553,370.202160383,398.155333742,287.784072513,325.3
P530,2014-01-08,465.914676052,443.266961257,318.750321531,385.667681445,335.732400688,439.29758967,263.004506036,246.838257618,378.723454122,341.464284492,325.3
P530,2014-01-09,324.37886195,268.878019674,0.0,0.0,208.951032153,345.892985465,0.0,180.02033408,215.473486533,289.190239057,325.3
P530,2014-01-10,401.135119097,158.969537714,365.191300753,303.59294681,229.92159863,407.85776077,394.12623584,405.486682854,177.976462779,258.373484888,325.3
P530,2014-01-11,394.228696842,488.796861032,0.0,277.893413399,600.779174146,373.541734693,460.814226518,0.0,0.0,319.35014777599997,325.3
P530,2014-01-12,384.612635133,0.0,143.997681282,378.42923576,289.624921612,240.18519123,337.979963021,191.906675448,376.977698018,366.760735057,325.3
P530,2014-01-13,169.324089003,0.0,269.74410163700003,385.718153645,131.285872921,249.758026412,232.954283561,254.892397351,130.336964734,264.19432436,325.3
P530,2014-01-14,322.279425148,437.159413629,275.329909532,0.0,433.827249188,181.377299362,345.684038789,31.308428818,354.345649304,165.126116692,325.3
P530,2014-01-15,419.854712497,479.320926019,318.371528038,260.092060677,394.060006406,427.783258735,200.677613507,396.370469616,396.030506467,365.149770882,325.3
P530,2014-01-16,347.830229868,233.624900197,415.085353984,107.116279675,471.037670445,0.0,226.42964422,257.840866446,187.870653826,237.508080398,325.3
P530,2014-01-17,103.140398372,295.382573908,116.910142055,452.173708129,266.417565026,230.006259689,242.567828647,471.100023903,478.05044141,282.721951671,325.3
P530,2014-01-18,157.273143644,186.00628435,182.030270892,416.435790086,190.988941111,198.671763377,389.847307187,190.150680781,333.642361433,450.293853613,325.3
P530,2014-01-19,282.33878003,265.826922764,483.970280549,242.179577713,152.922845996,124.078019494,241.238388212,390.310094116,289.040834006,316.989984417,325.3
P530,2014-01-20,0.0,277.911107526,281.236601827,169.062193046,363.907646454,343.524997515,421.414947646,383.833602284,118.858827171,176.526781534,325.3
P530,2014-01-21,343.463566427,327.321180994,109.669808032,207.246633728,329.737462268,219.299027726,265.512514593,216.916581501,152.900046842,354.769404238,325.3
P530,2014-01-22,269.150722643,157.075438818,0.0,225.849266279,398.964480896,536.0613742,321.045925721,366.302263854,99.9062546695,235.136077189,325.3
P530,2014-01-23,220.462547528,120.429114308,287.651699915,350.291976228,282.839980379,0.0,296.366902204,397.828500496,181.025646319,253.190526984,325.3
P530,2014-01-24,450.536241474,444.685185136,336.610597841,0.0,181.679737923,339.163445793,417.135039174,367.24857329,0.0,340.149363506,325.3
P530,2014-01-25,403.900260881,276.967503537,364.97069792,358.01910379,266.330377831,369.094705582,309.750479669,357.483393719,0.0,266.574569424,325.3
P530,2014-01-26,411.260797989,282.939301537,191.886853457,0.0,185.447966953,12.2142105571,306.420869152,109.16509319,337.441934102,320.677711055,325.3
P530,2014-01-27,354.812197133,163.834595335,352.541203118,301.652492008,428.941503329,376.868333082,436.83102762,255.966463222,347.234601234,202.753721999,325.3
P530,2014-01-28,196.736117074,450.268922372,0.0,366.046697816,0.0,286.504119492,251.510216332,0.0,0.0,295.654140924,325.3
P530,2014-01-29,265.130143532,249.398828122,124.01488086,367.899198128,273.287453807,302.770423168,289.408367391,111.398235287,330.995140595,411.790335843,325.3
P530,2014-01-30,250.761054908,220.548789273,0.0,201.761304102,295.110315198,257.739676679,104.751303543,285.729664189,179.583027679,245.93732918,325.3
P530,2014-01-31,225.52573918,405.811287176,354.394282052,338.936460694,551.488083946,274.090628415,395.764510223,475.218811788,296.777307751,321.811767812,325.3
P530,2014-02-01,411.45878787,275.666761293,268.056999749,248.373181405,0.0,373.423884622,161.63476856,262.637853353,0.0,439.116730968,283.2
P530,2014-02-02,0.0,260.662179666,306.402270288,235.113508466,337.842692206,349.831722786,243.359327799,264.701903094,186.721046468,283.779078062,283.2
P530,2014-02-03,0.0,342.092385742,174.212729759,352.643050922,233.933818485,128.094097952,361.288192714,0.0,315.136906019,241.623470585,283.2
P530,2014-02-04,214.093033539,193.272739985,217.724229489,231.126019939,0.0,258.547502243,0.0,226.20427241,196.217459549,324.788493552,283.2
P530,2014-02-05,339.453670399,0.0,396.299790214,224.332338364,149.120914885,288.855924442,212.107580498,271.125094621,0.0,239.75367922,283.2
P530,2014-02-06,259.927071791,219.965358879,263.614995401,291.47221173,0.0,269.119591403,0.0,237.369519499,348.512868835,288.911126595,283.2
P530,2014-02-07,0.0,0.0,353.201704284,283.381029138,443.778094791,361.921181227,466.492941554,380.814472275,307.46324384,191.318556068,283.2
P530,2014-02-08,355.481431306,512.128591599,227.059432554,229.207243649,258.92680815,365.116851486,342.22569693,310.433316799,423.916819802,398.809483902,283.2
P530,2014-02-09,0.0,201.873842283,156.252352354,286.802964407,322.042672276,315.483442929,136.242154281,557.594197589,186.552531912,249.437037118,283.2
P530,2014-02-10,353.790758858,366.048389194,318.732292796,25.0383132564,347.12466809,423.576964247,387.868698207,436.30048315,0.0,225.025283675,283.2
P530,2014-02-11,258.633304781,294.38932011000003,0.0,0.0,314.594827764,292.265786333,392.174122395,101.924097723,262.686837566,399.25345813,283.2
P530,2014-02-12,260.579464358,152.773161774,270.537519152,342.065155073,522.942317218,307.457104032,296.966784326,330.445776463,356.016116852,134.186014291,283.2
